,Name,Transecto,Ponto,cobertura de Sarcothelia %
0,I1_TR1_1.JPG,1.0,I1,10.0
2,I1_TR1_10.JPG,1.0,I1,0.0
3,I1_TR1_2.JPG,1.0,I1,16.666666666666668
5,I1_TR1_3.JPG,1.0,I1,23.333333333333332
7,I1_TR1_4.JPG,1.0,I1,3.3333333333333335
9,I1_TR1_5.JPG,1.0,I1,0.0
10,I1_TR1_6.JPG,1.0,I1,0.0
11,I1_TR1_7.JPG,1.0,I1,0.0
12,I1_TR1_8.JPG,1.0,I1,0.0
13,I1_TR1_9.JPG,1.0,I1,0.0
14,I1_TR2_1.JPG,2.0,I1,20.0
16,I1_TR2_10.JPG,2.0,I1,0.0
17,I1_TR2_2.JPG,2.0,I1,3.3333333333333335
19,I1_TR2_3.JPG,2.0,I1,10.0
21,I1_TR2_4.JPG,2.0,I1,10.0
23,I1_TR2_5.JPG,2.0,I1,10.0
25,I1_TR2_6.JPG,2.0,I1,3.3333333333333335
27,I1_TR2_7.JPG,2.0,I1,6.666666666666667
29,I1_TR2_8.JPG,2.0,I1,0.0
30,I1_TR2_9.JPG,2.0,I1,3.3333333333333335
32,I1_TR3_1.JPG,3.0,I1,3.3333333333333335
34,I1_TR3_10.JPG,3.0,I1,16.666666666666668
36,I1_TR3_2.JPG,3.0,I1,20.0
38,I1_TR3_3.JPG,3.0,I1,3.3333333333333335
40,I1_TR3_4.JPG,3.0,I1,0.0
41,I1_TR3_5.JPG,3.0,I1,30.0
43,I1_TR3_6.JPG,3.0,I1,20.0
45,I1_TR3_7.JPG,3.0,I1,16.666666666666668
47,I1_TR3_8.JPG,3.0,I1,10.0
49,I1_TR3_9.JPG,3.0,I1,13.333333333333334
51,I1_TR4_1.JPG,4.0,I1,13.333333333333334
53,I1_TR4_10.JPG,4.0,I1,10.0
55,I1_TR4_2.JPG,4.0,I1,16.666666666666668
57,I1_TR4_3.JPG,4.0,I1,10.0
59,I1_TR4_4.JPG,4.0,I1,10.0
61,I1_TR4_5.JPG,4.0,I1,6.666666666666667
63,I1_TR4_6.JPG,4.0,I1,0.0
64,I1_TR4_7.JPG,4.0,I1,3.3333333333333335
66,I1_TR4_8.JPG,4.0,I1,0.0
67,I1_TR4_9.JPG,4.0,I1,0.0
68,I2_TR1_1.JPG,1.0,I2,6.666666666666667
70,I2_TR1_10.JPG,1.0,I2,0.0
71,I2_TR1_2.JPG,1.0,I2,10.0
73,I2_TR1_3.JPG,1.0,I2,16.666666666666668
75,I2_TR1_4.JPG,1.0,I2,0.0
76,I2_TR1_5.JPG,1.0,I2,0.0
77,I2_TR1_6.JPG,1.0,I2,0.0
78,I2_TR1_7.JPG,1.0,I2,0.0
79,I2_TR1_8.JPG,1.0,I2,0.0
80,I2_TR1_9.JPG,1.0,I2,0.0
81,I2_TR2_1.JPG,2.0,I2,13.333333333333334
83,I2_TR2_10.JPG,2.0,I2,0.0
84,I2_TR2_2.JPG,2.0,I2,6.666666666666667
86,I2_TR2_3.JPG,2.0,I2,20.0
88,I2_TR2_4.JPG,2.0,I2,0.0
89,I2_TR2_5.JPG,2.0,I2,26.666666666666668
91,I2_TR2_6.JPG,2.0,I2,6.666666666666667
93,I2_TR2_7.JPG,2.0,I2,13.333333333333334
95,I2_TR2_8.JPG,2.0,I2,0.0
96,I2_TR2_9.JPG,2.0,I2,10.0
98,I2_TR3_1.JPG,3.0,I2,10.0
100,I2_TR3_10.JPG,3.0,I2,10.0
102,I2_TR3_2.JPG,3.0,I2,40.0
104,I2_TR3_3.JPG,3.0,I2,10.0
106,I2_TR3_4.JPG,3.0,I2,6.666666666666667
108,I2_TR3_5.JPG,3.0,I2,20.0
110,I2_TR3_6.JPG,3.0,I2,43.333333333333336
112,I2_TR3_7.JPG,3.0,I2,13.333333333333334
114,I2_TR3_8.JPG,3.0,I2,6.666666666666667
116,I2_TR3_9.JPG,3.0,I2,13.333333333333334
118,I2_TR4_1.JPG,4.0,I2,10.0
120,I2_TR4_10.JPG,4.0,I2,6.666666666666667
122,I2_TR4_2.JPG,4.0,I2,13.333333333333334
124,I2_TR4_3.JPG,4.0,I2,6.666666666666667
126,I2_TR4_4.JPG,4.0,I2,3.3333333333333335
128,I2_TR4_5.JPG,4.0,I2,0.0
129,I2_TR4_6.JPG,4.0,I2,0.0
130,I2_TR4_7.JPG,4.0,I2,13.333333333333334
132,I2_TR4_8.JPG,4.0,I2,0.0
133,I2_TR4_9.JPG,4.0,I2,0.0
134,NI1_TR1_1.JPG,1.0,NI1,0.0
135,NI1_TR1_2.JPG,1.0,NI1,0.0
136,NI1_TR1_3.JPG,1.0,NI1,0.0
137,NI1_TR1_4.JPG,1.0,NI1,0.0
138,NI1_TR1_5.JPG,1.0,NI1,0.0
139,NI1_TR1_6.JPG,1.0,NI1,0.0
140,NI1_TR1_7.JPG,1.0,NI1,0.0
141,NI1_TR1_8.JPG,1.0,NI1,0.0
142,NI1_TR1_9.JPG,1.0,NI1,0.0
143,NI1_TR2_1.JPG,2.0,NI1,0.0
144,NI1_TR2_10.JPG,2.0,NI1,0.0
145,NI1_TR2_2.JPG,2.0,NI1,0.0
146,NI1_TR2_3.JPG,2.0,NI1,0.0
147,NI1_TR2_4.JPG,2.0,NI1,0.0
148,NI1_TR2_5.JPG,2.0,NI1,0.0
149,NI1_TR2_6.JPG,2.0,NI1,0.0
150,NI1_TR2_7.JPG,2.0,NI1,0.0
151,NI1_TR2_8.JPG,2.0,NI1,0.0
152,NI1_TR2_9.JPG,2.0,NI1,0.0
153,NI1_TR3_1.JPG,3.0,NI1,0.0
154,NI1_TR3_10.JPG,3.0,NI1,0.0
155,NI1_TR3_2.JPG,3.0,NI1,0.0
156,NI1_TR3_3.JPG,3.0,NI1,0.0
157,NI1_TR3_4.JPG,3.0,NI1,0.0
158,NI1_TR3_5.JPG,3.0,NI1,0.0
159,NI1_TR3_6.JPG,3.0,NI1,0.0
160,NI1_TR3_7.JPG,3.0,NI1,0.0
161,NI1_TR3_8.JPG,3.0,NI1,0.0
162,NI1_TR3_9.JPG,3.0,NI1,0.0
163,NI1_TR4_1.JPG,4.0,NI1,0.0
164,NI1_TR4_10.JPG,4.0,NI1,0.0
165,NI1_TR4_2.JPG,4.0,NI1,0.0
166,NI1_TR4_3.JPG,4.0,NI1,0.0
167,NI1_TR4_4.JPG,4.0,NI1,0.0
168,NI1_TR4_5.JPG,4.0,NI1,0.0
169,NI1_TR4_6.JPG,4.0,NI1,0.0
170,NI1_TR4_7.JPG,4.0,NI1,0.0
171,NI1_TR4_8.JPG,4.0,NI1,0.0
172,NI1_TR4_9.JPG,4.0,NI1,0.0
173,NI2_TR1_1,1.0,NI2,0.0
174,NI2_TR1_10,1.0,NI2,3.3333333333333335
176,NI2_TR1_2,1.0,NI2,0.0
177,NI2_TR1_3,1.0,NI2,3.3333333333333335
179,NI2_TR1_4,1.0,NI2,0.0
180,NI2_TR1_5,1.0,NI2,0.0
181,NI2_TR1_6,1.0,NI2,0.0
182,NI2_TR1_7,1.0,NI2,0.0
183,NI2_TR1_8,1.0,NI2,13.333333333333334
185,NI2_TR1_9,1.0,NI2,3.3333333333333335
187,NI2_TR2_1,2.0,NI2,0.0
188,NI2_TR2_10,2.0,NI2,10.0
190,NI2_TR2_2,2.0,NI2,0.0
191,NI2_TR2_3,2.0,NI2,0.0
192,NI2_TR2_4,2.0,NI2,0.0
193,NI2_TR2_5,2.0,NI2,0.0
194,NI2_TR2_6,2.0,NI2,0.0
195,NI2_TR2_7,2.0,NI2,3.3333333333333335
197,NI2_TR2_8,2.0,NI2,3.3333333333333335
199,NI2_TR2_9,2.0,NI2,20.0
201,NI2_TR3_1,3.0,NI2,0.0
202,NI2_TR3_10,3.0,NI2,3.3333333333333335
204,NI2_TR3_2,3.0,NI2,6.666666666666667
206,NI2_TR3_3,3.0,NI2,3.3333333333333335
208,NI2_TR3_4,3.0,NI2,26.666666666666668
210,NI2_TR3_5,3.0,NI2,13.333333333333334
212,NI2_TR3_6,3.0,NI2,0.0
213,NI2_TR3_7,3.0,NI2,3.3333333333333335
215,NI2_TR3_8,3.0,NI2,3.3333333333333335
217,NI2_TR3_9,3.0,NI2,13.333333333333334
219,NI2_TR4_1,4.0,NI2,6.666666666666667
222,NI2_TR4_10,4.0,NI2,50.0
223,NI2_TR4_2,4.0,NI2,6.666666666666667
225,NI2_TR4_3,4.0,NI2,0.0
226,NI2_TR4_4,4.0,NI2,10.0
228,NI2_TR4_5,4.0,NI2,6.666666666666667
230,NI2_TR4_6,4.0,NI2,0.0
231,NI2_TR4_7,4.0,NI2,10.0
233,NI2_TR4_8,4.0,NI2,10.0
235,NI2_TR4_9,4.0,NI2,23.333333333333332
